client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
CL100746,Corporate,Not Specified,United Kingdom,Europe - West,1994-05-02,Investment,Yes,Friend/Family,4.0
CL100747,Individual,Female,Germany,Europe - West,1987-11-15,Investment,No,Agent Referral,5.0
CL100748,Individual,Male,India,South Asia,2004-04-02,Investment,No,Agent Referral,3.0
CL100749,Individual,Male,Singapore,Southeast Asia,1996-05-02,Personal use,No,Friend/Family,5.0
CL100750,Individual,Male,Canada,North America - East,1972-05-17,Personal use,Yes,Property Portal,5.0
CL100751,Individual,Male,United Kingdom,Europe - West,1988-02-27,Investment,No,Event,3.0
CL100752,Individual,Female,Canada,North America - East,1982-06-26,Personal use,Yes,Agent Referral,4.0
CL100753,Corporate,Not Specified,Germany,Europe - West,1978-11-20,Investment,No,Event,5.0
CL100754,Individual,Female,India,South Asia,1986-05-04,Investment,No,Social Media,4.0
CL100755,Individual,Female,Canada,North America - East,2001-04-27,Personal use,Yes,Property Portal,4.0
CL100756,Individual,Male,United Kingdom,Europe - West,1984-09-10,Investment,Yes,Website,2.0
CL100757,Individual,Male,Australia,Oceania,1980-11-16,Personal use,No,Website,4.0
CL100758,Individual,Male,United States,North America - East,1982-04-16,Personal use,Yes,,4.0
CL100759,Individual,Male,Germany,Europe - West,1995-08-13,Personal use,Yes,Property Portal,3.0
CL100760,Corporate,Not Specified,India,South Asia,1993-07-31,Investment,No,Website,3.0
CL100761,Individual,Male,United States,North America - West,1980-05-24,Investment,No,Website,4.0
CL100762,Individual,Male,United States,North America - East,1987-12-23,Personal use,Yes,Social Media,3.0
CL100763,Individual,Female,United States,North America - East,1989-08-29,Personal use,Yes,Event,4.0
CL100764,Individual,Male,Australia,Oceania,1965-08-26,Personal use,Yes,Social Media,4.0
CL100765,Corporate,Not Specified,United States,North America - East,1961-03-19,Investment,No,Friend/Family,4.0
CL100766,Individual,Male,United States,North America - West,1974-04-07,Investment,No,Website,4.0
CL100767,Individual,Female,United States,North America - West,1997-10-16,Investment,No,Property Portal,4.0
CL100768,Individual,Female,United States,North America - West,1978-01-04,Investment,No,Website,5.0
CL100769,Corporate,Not Specified,United Arab Emirates,Middle East,1983-02-07,Investment,No,Agent Referral,5.0
CL100770,Individual,Male,Canada,North America - East,1991-06-02,Personal use,No,Social Media,4.0
CL100771,Individual,Female,United Arab Emirates,Middle East,1999-02-14,Personal use,Yes,Agent Referral,5.0
CL100772,Corporate,Not Specified,United Arab Emirates,Middle East,1964-03-09,Investment,No,Friend/Family,4.0
CL100773,Individual,Female,Singapore,Southeast Asia,1992-06-22,Investment,No,Friend/Family,4.0
CL100774,Individual,Female,United States,North America - West,1980-05-22,Investment,No,Agent Referral,4.0
CL100775,Individual,Female,Singapore,Southeast Asia,1996-10-26,Personal use,Yes,Website,4.0
CL100776,Individual,Female,United Arab Emirates,Middle East,1984-03-21,Personal use,No,Website,2.0
CL100777,Individual,Male,United States,North America - East,2002-04-10,Personal use,No,Website,4.0
CL100778,Corporate,Not Specified,India,South Asia,1983-12-18,Investment,No,Property Portal,5.0
CL100779,Individual,Male,Singapore,Southeast Asia,1998-06-25,Personal use,Yes,Social Media,4.0
CL100780,Individual,Female,Canada,North America - East,1986-07-15,Investment,No,Website,4.0
CL100781,Corporate,Not Specified,Australia,Oceania,1962-10-14,Investment,No,Website,3.0
CL100782,Corporate,Not Specified,Germany,Europe - West,1970-12-18,Investment,No,Property Portal,4.0
CL100783,Corporate,Not Specified,United Arab Emirates,Middle East,1986-05-02,Investment,No,Property Portal,4.0
CL100784,Individual,Female,Brazil,Latin America,1995-10-21,Personal use,Yes,Property Portal,5.0
CL100785,Corporate,Not Specified,United Kingdom,Europe - West,1983-05-22,Investment,No,Website,3.0
CL100786,Individual,Other,Singapore,Southeast Asia,1974-02-02,Personal use,Yes,Social Media,3.0
CL100787,Individual,Male,United Kingdom,Europe - West,1989-09-20,Personal use,Yes,Website,3.0
CL100788,Individual,Male,India,South Asia,2004-01-18,Personal use,No,Property Portal,5.0
CL100789,Corporate,Not Specified,United Arab Emirates,Middle East,1990-07-29,Personal use,Yes,Agent Referral,4.0
CL100790,Corporate,Not Specified,United States,North America - West,1996-07-04,Investment,No,Friend/Family,3.0
CL100791,Individual,Male,Germany,Europe - West,1993-12-10,Personal use,Yes,Website,2.0
CL100792,Individual,Female,United Kingdom,Europe - West,1969-07-24,Investment,No,Property Portal,3.0
CL100793,Individual,Male,United States,North America - East,1995-04-08,Personal use,No,Agent Referral,5.0
CL100794,Individual,Male,United States,North America - West,1979-11-03,Personal use,Yes,Property Portal,4.0
CL100795,Individual,Male,United Kingdom,Europe - West,1973-10-23,Investment,No,Website,3.0
CL100796,Individual,Female,United States,North America - East,1981-04-25,Investment,No,Property Portal,3.0
CL100797,Individual,Male,United States,North America - West,2001-08-30,Personal use,Yes,Website,5.0
CL100798,Corporate,Not Specified,India,South Asia,1984-06-21,Investment,No,Friend/Family,5.0
CL100799,Individual,Female,India,South Asia,1973-02-24,Personal use,No,Property Portal,
CL100800,Corporate,Not Specified,India,South Asia,1987-06-03,Investment,No,Agent Referral,5.0
CL100801,Individual,Male,United Kingdom,Europe - West,1975-01-17,Personal use,No,Agent Referral,5.0
CL100802,Individual,Female,Australia,Oceania,1989-10-05,Personal use,Yes,Agent Referral,5.0
CL100803,Individual,Female,United Arab Emirates,Middle East,1984-02-20,Investment,Yes,Agent Referral,4.0
CL100804,Individual,Male,United States,North America - East,2001-02-13,Personal use,Yes,Friend/Family,3.0
CL100805,Individual,Female,United States,North America - West,1992-03-22,Personal use,Yes,Website,5.0
CL100806,Individual,Female,India,South Asia,1995-07-25,Personal use,Yes,Website,3.0
CL100807,Individual,Male,United States,North America - East,1983-03-07,Investment,Yes,Agent Referral,3.0
CL100808,Individual,Female,France,Europe - West,1983-10-29,Investment,No,Agent Referral,3.0
CL100809,Individual,Female,Brazil,Latin America,1980-01-27,Personal use,Yes,Website,3.0
CL100810,Individual,Female,United States,North America - East,1991-01-01,Personal use,Yes,Friend/Family,2.0
CL100811,Individual,Female,United States,North America - West,1995-11-20,Investment,No,Website,3.0
CL100812,Individual,Female,Brazil,Latin America,1983-05-16,Personal use,Yes,Property Portal,3.0
CL100813,Individual,Other,United Arab Emirates,Middle East,1997-05-31,Investment,No,Friend/Family,3.0
CL100814,Individual,Female,United States,North America - East,1973-10-17,Personal use,No,Agent Referral,5.0
CL100815,Individual,Female,Australia,Oceania,1987-04-19,Investment,No,Property Portal,4.0
CL100816,Individual,Female,Australia,Oceania,1989-01-08,Investment,No,Social Media,4.0
CL100817,Corporate,Not Specified,France,Europe - West,1964-02-19,Personal use,No,Social Media,
CL100818,Individual,Female,United Arab Emirates,Middle East,1986-08-19,Investment,Yes,Agent Referral,4.0
CL100819,Individual,Male,Canada,North America - East,2004-06-06,Personal use,Yes,Friend/Family,4.0
CL100820,Individual,Male,United States,North America - East,1997-06-03,Personal use,Yes,Website,4.0
CL100821,Individual,Female,United Arab Emirates,Middle East,1974-08-02,Investment,No,Social Media,4.0
CL100822,Individual,Male,United Kingdom,Europe - West,1984-12-23,Personal use,Yes,Website,2.0
CL100823,Corporate,Not Specified,United Arab Emirates,Middle East,1961-10-22,Investment,No,Agent Referral,5.0
CL100824,Individual,Female,Singapore,Southeast Asia,1981-10-17,Personal use,No,Social Media,3.0
CL100825,Individual,Female,United States,North America - East,1992-07-22,Personal use,Yes,Website,4.0
CL100826,Individual,Male,United Arab Emirates,Middle East,1995-04-20,Investment,No,Agent Referral,4.0
CL100827,Individual,Female,Canada,North America - East,1998-07-08,Investment,No,Property Portal,3.0
CL100828,Individual,Male,Singapore,Southeast Asia,1975-09-14,Investment,Yes,Agent Referral,4.0
CL100829,Individual,Female,Canada,North America - East,2004-02-16,Personal use,Yes,Website,4.0
CL100830,Individual,Male,United Arab Emirates,Middle East,1994-11-22,Investment,No,Agent Referral,4.0
CL100831,Corporate,Not Specified,United Arab Emirates,Middle East,1975-09-08,Investment,No,Property Portal,4.0
CL100832,Individual,Female,United Kingdom,Europe - West,1968-02-16,Personal use,Yes,Friend/Family,3.0
CL100833,Corporate,Not Specified,India,South Asia,1981-09-22,Investment,No,Social Media,4.0
CL100834,Individual,Female,India,South Asia,1994-11-28,Personal use,Yes,Property Portal,3.0
CL100835,Corporate,Not Specified,United Arab Emirates,Middle East,1970-09-14,Investment,No,Friend/Family,3.0
CL100836,Individual,Male,India,South Asia,2000-04-24,Investment,No,Property Portal,4.0
CL100837,Individual,Male,Brazil,Latin America,1983-08-21,Investment,Yes,Friend/Family,4.0
CL100838,Corporate,Not Specified,Germany,Europe - West,1966-05-11,Investment,Yes,Property Portal,4.0
CL100839,Individual,Female,France,Europe - West,1995-04-28,Personal use,Yes,Social Media,3.0
CL100840,Corporate,Not Specified,United States,North America - East,1970-03-24,Investment,No,Agent Referral,3.0
CL100841,Individual,Male,India,South Asia,1990-12-04,Personal use,No,Website,5.0
CL100842,Individual,Male,France,Europe - West,1977-10-07,Personal use,Yes,Website,2.0
CL100843,Individual,Female,Germany,Europe - West,2004-05-27,Investment,No,Social Media,4.0
CL100844,Individual,Male,United States,North America - East,1981-11-02,Personal use,Yes,Event,5.0
CL100845,Corporate,Not Specified,Australia,Oceania,1995-04-28,Personal use,No,Friend/Family,4.0
CL100846,Corporate,Not Specified,United Kingdom,Europe - West,1996-08-18,Investment,No,Property Portal,4.0
CL100847,Individual,Male,India,South Asia,1986-02-26,Personal use,Yes,Friend/Family,4.0
CL100848,Individual,Male,United States,North America - West,1972-01-17,Investment,No,Property Portal,4.0
CL100849,Individual,Male,Brazil,Latin America,1980-06-16,Personal use,No,Friend/Family,5.0
CL100850,Individual,Female,United States,North America - East,1987-03-02,Investment,No,Agent Referral,4.0
CL100851,Individual,Female,United States,North America - East,1977-05-01,Personal use,Yes,Social Media,3.0
CL100852,Individual,Male,Singapore,Southeast Asia,1977-08-14,Personal use,Yes,Agent Referral,4.0
CL100853,Individual,Female,Australia,Oceania,1980-05-16,Personal use,Yes,Website,5.0
CL100854,Corporate,Not Specified,United States,North America - East,1961-05-06,Personal use,Yes,Agent Referral,3.0
CL100855,Individual,Female,Germany,Europe - West,1996-05-29,Investment,No,Agent Referral,5.0
CL100856,Individual,Female,India,South Asia,1969-11-07,Personal use,Yes,Website,4.0
CL100857,Individual,Male,Singapore,Southeast Asia,1999-05-12,Investment,Yes,Agent Referral,5.0
CL100858,Corporate,Not Specified,United Kingdom,Europe - West,1982-02-18,Investment,Yes,Property Portal,4.0
CL100859,Individual,Female,France,Europe - West,1978-10-01,Investment,Yes,Agent Referral,5.0
CL100860,Individual,Female,India,South Asia,1993-06-09,Personal use,Yes,Property Portal,4.0
CL100861,Individual,Male,India,South Asia,2003-11-10,Personal use,Yes,Website,3.0
CL100862,Corporate,Not Specified,India,South Asia,1964-11-17,Investment,No,Event,4.0
CL100863,Individual,Male,United Arab Emirates,Middle East,1962-10-18,Personal use,Yes,Friend/Family,3.0
CL100864,Individual,Other,United States,North America - West,1995-09-11,Personal use,Yes,Property Portal,5.0
CL100865,Individual,Female,Australia,Oceania,1993-11-21,Investment,No,Social Media,3.0
CL100866,Individual,Male,Singapore,Southeast Asia,1996-06-25,Personal use,Yes,Friend/Family,4.0
CL100867,Individual,Female,India,South Asia,1972-10-04,Personal use,Yes,Agent Referral,3.0
CL100868,Individual,Male,United States,North America - West,1988-08-30,Personal use,No,Agent Referral,4.0
CL100869,Individual,Male,United States,North America - East,1992-01-01,Personal use,Yes,Friend/Family,3.0
CL100870,Individual,Female,India,South Asia,1970-03-05,Personal use,Yes,Website,4.0
CL100871,Individual,Male,United States,North America - East,1979-03-10,Investment,Yes,Website,4.0
CL100872,Individual,Female,Brazil,Latin America,1995-11-14,Personal use,Yes,Property Portal,5.0
CL100873,Individual,Female,United Kingdom,Europe - West,1999-08-27,Investment,Yes,Website,5.0
CL100874,Individual,Female,India,South Asia,1973-09-06,Investment,No,Friend/Family,4.0
CL100875,Individual,Female,Australia,Oceania,1984-10-28,Investment,No,Website,3.0
CL100876,Individual,Male,United Kingdom,Europe - West,2003-02-20,Personal use,Yes,Agent Referral,3.0
CL100877,Individual,Female,United Kingdom,Europe - West,2003-12-20,Personal use,Yes,Agent Referral,4.0
CL100878,Individual,Female,United Arab Emirates,Middle East,1998-03-23,Investment,Yes,Social Media,4.0
CL100879,Corporate,Not Specified,United Arab Emirates,Middle East,1972-08-14,Investment,No,Property Portal,4.0
CL100880,Individual,Male,Germany,Europe - West,2004-03-22,Personal use,Yes,Property Portal,3.0
CL100881,Individual,Male,United Arab Emirates,Middle East,1997-10-14,Investment,No,Agent Referral,5.0
CL100882,Individual,Male,Australia,Oceania,1996-08-19,Personal use,No,Agent Referral,3.0
CL100883,Individual,Female,Germany,Europe - West,1991-08-17,Investment,No,Property Portal,3.0
CL100884,Individual,Male,United States,North America - East,1967-06-04,Personal use,No,Website,3.0
CL100885,Individual,Female,United Kingdom,Europe - West,1988-04-20,Investment,No,Website,4.0
CL100886,Corporate,Not Specified,United Kingdom,Europe - West,1983-02-17,Investment,No,Social Media,5.0
CL100887,Individual,Male,United States,North America - West,1980-08-07,Personal use,No,Property Portal,4.0
CL100888,Individual,Male,United States,North America - West,1987-10-28,Personal use,Yes,Agent Referral,4.0
CL100889,Individual,Male,India,South Asia,1981-08-11,Investment,Yes,Website,4.0
CL100890,Individual,Other,United Kingdom,Europe - West,1982-07-23,Personal use,Yes,Event,3.0
CL100891,Corporate,Not Specified,Brazil,Latin America,1977-10-17,Personal use,No,Property Portal,4.0
CL100892,Individual,Male,Canada,North America - East,1955-05-27,Personal use,Yes,Friend/Family,4.0
CL100893,Individual,Male,United States,North America - West,1975-03-12,Personal use,Yes,Friend/Family,3.0
CL100894,Individual,Male,India,South Asia,1997-04-25,Personal use,No,Property Portal,4.0
CL100895,Individual,Female,Australia,Oceania,1981-07-02,Personal use,No,Friend/Family,4.0
CL100896,Individual,Female,Canada,North America - East,1994-03-31,Personal use,Yes,Property Portal,5.0
CL100897,Individual,Male,United States,North America - East,1980-12-25,Investment,No,Social Media,
CL100898,Corporate,Not Specified,United States,North America - West,1983-09-30,Personal use,Yes,Agent Referral,5.0
CL100899,Individual,Male,France,Europe - West,1997-11-15,Personal use,Yes,Property Portal,4.0
CL100900,Individual,Female,Germany,Europe - West,1982-07-29,Personal use,Yes,Friend/Family,3.0
CL100901,Corporate,Not Specified,Canada,North America - East,1963-11-09,Investment,No,Agent Referral,4.0
CL100902,Corporate,Not Specified,United States,North America - East,1973-10-20,Investment,No,Social Media,4.0
CL100903,Individual,Female,France,Europe - West,1975-10-31,Personal use,Yes,Property Portal,3.0
CL100904,Individual,Female,Brazil,Latin America,1981-02-09,Personal use,Yes,Agent Referral,4.0
CL100905,Individual,Male,United Arab Emirates,Middle East,1983-11-08,Investment,No,Friend/Family,4.0
CL100906,Individual,Other,France,Europe - West,1990-11-23,Personal use,Yes,Website,3.0
CL100907,Corporate,Not Specified,United States,North America - West,1995-02-10,Investment,No,Social Media,5.0
CL100908,Individual,Male,Canada,North America - East,1973-11-15,Personal use,Yes,Event,2.0
CL100909,Individual,Female,United Kingdom,Europe - West,1986-05-31,Personal use,No,Property Portal,4.0
CL100910,Corporate,Not Specified,India,South Asia,1976-12-05,Investment,Yes,Property Portal,5.0
CL100911,Individual,Female,Singapore,Southeast Asia,1967-11-05,Investment,Yes,Friend/Family,4.0
CL100912,Individual,Male,Australia,Oceania,1986-02-14,Investment,No,Social Media,4.0
CL100913,Individual,Female,Brazil,Latin America,1985-08-20,Investment,No,Friend/Family,5.0
CL100914,Individual,Female,Brazil,Latin America,1980-07-18,Personal use,Yes,Agent Referral,4.0
CL100915,Corporate,Not Specified,Brazil,Latin America,1996-07-31,Personal use,No,Social Media,2.0
CL100916,Individual,Male,United States,North America - West,1995-03-21,Personal use,Yes,Social Media,4.0
CL100917,Individual,Male,United States,North America - East,1981-04-29,Personal use,No,Social Media,2.0
CL100918,Individual,Female,United Kingdom,Europe - West,1985-12-06,Investment,Yes,Agent Referral,3.0
CL100919,Corporate,Not Specified,United Arab Emirates,Middle East,1994-06-20,Investment,No,Agent Referral,5.0
CL100920,Individual,Male,United States,North America - West,1977-08-06,Personal use,No,Agent Referral,4.0
CL100921,Corporate,Not Specified,Singapore,Southeast Asia,1982-02-22,Investment,No,Agent Referral,5.0
CL100922,Corporate,Not Specified,United Arab Emirates,Middle East,1985-08-14,Investment,No,Agent Referral,3.0
CL100923,Individual,Female,France,Europe - West,1981-11-08,Personal use,Yes,Website,4.0
CL100924,Corporate,Not Specified,United States,North America - West,1977-09-06,Investment,No,Property Portal,3.0
CL100925,Individual,Female,Canada,North America - East,1991-04-06,Investment,No,Website,5.0
CL100926,Individual,Male,United States,North America - East,1982-10-23,Investment,No,Property Portal,4.0
CL100927,Individual,Male,Singapore,Southeast Asia,1987-03-15,Personal use,Yes,Agent Referral,5.0
CL100928,Corporate,Not Specified,United Arab Emirates,Middle East,1993-12-10,Investment,No,Property Portal,3.0
CL100929,Corporate,Not Specified,India,South Asia,1970-05-06,Investment,No,Friend/Family,5.0
CL100930,Individual,Male,United Kingdom,Europe - West,1979-01-03,Personal use,Yes,Property Portal,3.0
CL100931,Corporate,Not Specified,United Kingdom,Europe - West,1988-01-18,Personal use,No,Property Portal,2.0
CL100932,Individual,Female,Germany,Europe - West,1971-04-03,Personal use,No,Friend/Family,4.0
CL100933,Corporate,Not Specified,India,South Asia,1965-09-02,Investment,No,Website,5.0
CL100934,Corporate,Not Specified,India,South Asia,1977-10-16,Investment,Yes,Social Media,4.0
CL100935,Individual,Female,United States,North America - East,1977-09-18,Investment,No,Agent Referral,5.0
CL100936,Individual,Female,Australia,Oceania,1994-05-24,Personal use,Yes,Property Portal,4.0
CL100937,Individual,Male,United States,North America - East,1974-02-14,Personal use,No,Property Portal,3.0
CL100938,Corporate,Not Specified,Australia,Oceania,1994-12-25,Investment,Yes,Agent Referral,5.0
CL100939,Individual,Female,United States,North America - West,1972-03-25,Personal use,Yes,Friend/Family,4.0
CL100940,Individual,Female,Canada,North America - East,1981-05-11,Investment,Yes,Agent Referral,3.0
CL100941,Individual,Female,Singapore,Southeast Asia,1991-05-07,Personal use,No,Friend/Family,4.0
CL100942,Individual,Male,United States,North America - East,1983-10-13,Personal use,Yes,Social Media,4.0
CL100943,Individual,Male,Germany,Europe - West,1981-06-05,Investment,No,Social Media,5.0
CL100944,Individual,Male,Germany,Europe - West,1991-11-25,Investment,No,Property Portal,3.0
CL100945,Corporate,Not Specified,Canada,North America - East,1983-09-16,Personal use,No,Agent Referral,
CL100946,Individual,Female,India,South Asia,1979-02-07,Investment,Yes,Property Portal,3.0
CL100947,Corporate,Not Specified,Singapore,Southeast Asia,1974-01-31,Investment,Yes,Friend/Family,5.0
CL100948,Individual,Male,Singapore,Southeast Asia,1965-02-04,Investment,No,Agent Referral,4.0
CL100949,Corporate,Not Specified,United Kingdom,Europe - West,1995-05-01,Investment,No,Agent Referral,5.0
CL100950,Individual,Male,France,Europe - West,1998-01-21,Personal use,No,Website,3.0
CL100951,Individual,Male,Canada,North America - East,1995-04-22,Personal use,No,Social Media,4.0
CL100952,Individual,Male,Canada,North America - East,1969-03-05,Investment,No,Property Portal,4.0
CL100953,Individual,Female,United States,North America - East,1964-11-16,Personal use,Yes,Website,5.0
CL100954,Individual,Male,Australia,Oceania,1974-02-03,Personal use,No,Website,5.0
CL100955,Corporate,Not Specified,Australia,Oceania,1996-01-05,Personal use,No,Social Media,4.0
CL100956,Individual,Other,India,South Asia,1971-10-19,Personal use,Yes,Agent Referral,3.0
CL100957,Individual,Female,France,Europe - West,1979-07-17,Personal use,Yes,Agent Referral,5.0
CL100958,Individual,Male,France,Europe - West,1982-03-04,Personal use,Yes,Friend/Family,3.0
CL100959,Individual,Female,France,Europe - West,1980-02-08,Investment,No,Agent Referral,2.0
CL100960,Individual,Female,France,Europe - West,1977-01-25,Investment,No,Property Portal,2.0
CL100961,Individual,Male,Germany,Europe - West,1994-08-14,Investment,No,Agent Referral,3.0
CL100962,Individual,Female,United States,North America - West,1977-01-01,Investment,No,Social Media,4.0
CL100963,Corporate,Not Specified,United States,North America - East,1967-07-30,Personal use,Yes,Agent Referral,5.0
CL100964,Individual,Male,Brazil,Latin America,1988-05-06,Investment,No,Agent Referral,3.0
CL100965,Individual,Female,France,Europe - West,1989-01-15,Personal use,Yes,Social Media,3.0
CL100966,Individual,Male,Brazil,Latin America,1980-06-30,Investment,No,Friend/Family,4.0
CL100967,Individual,Male,United States,North America - East,1993-08-17,Personal use,Yes,Event,5.0
CL100968,Individual,Female,United Arab Emirates,Middle East,2000-01-27,Investment,No,Website,3.0
CL100969,Corporate,Not Specified,United States,North America - West,1980-06-24,Investment,No,Social Media,4.0
CL100970,Individual,Male,Canada,North America - East,1989-12-05,Investment,No,Friend/Family,4.0
CL100971,Individual,Male,United States,North America - West,1984-11-10,Personal use,Yes,Website,5.0
CL100972,Corporate,Not Specified,United States,North America - West,1980-05-30,Investment,No,Property Portal,4.0
CL100973,Individual,Male,Australia,Oceania,1971-01-11,Personal use,Yes,Agent Referral,4.0
CL100974,Corporate,Not Specified,United Kingdom,Europe - West,1966-07-19,Personal use,Yes,Property Portal,4.0
CL100975,Individual,Male,United Arab Emirates,Middle East,1987-10-29,Investment,No,Social Media,4.0
CL100976,Individual,Male,Germany,Europe - West,1998-07-03,Personal use,Yes,Website,4.0
CL100977,Corporate,Not Specified,Germany,Europe - West,1978-11-18,Investment,No,Friend/Family,3.0
CL100978,Corporate,Not Specified,France,Europe - West,1965-12-25,Investment,No,Website,2.0
CL100979,Corporate,Not Specified,United States,North America - East,1980-06-12,Investment,No,Friend/Family,4.0
CL100980,Individual,Male,Brazil,Latin America,1983-12-08,Personal use,Yes,Property Portal,4.0
CL100981,Corporate,Not Specified,Singapore,Southeast Asia,1978-02-17,Investment,No,Social Media,3.0
CL100982,Individual,Male,India,South Asia,1977-02-03,Personal use,Yes,Agent Referral,4.0
CL100983,Individual,Male,Germany,Europe - West,1986-05-18,Personal use,Yes,Agent Referral,3.0
CL100984,Individual,Female,United States,North America - East,1981-07-11,Investment,No,Social Media,5.0
CL100985,Individual,Female,Australia,Oceania,1996-01-20,Personal use,No,Friend/Family,4.0
CL100986,Individual,Male,United Kingdom,Europe - West,1957-09-21,Personal use,Yes,Friend/Family,4.0
CL100987,Individual,Female,United States,North America - East,1989-05-28,Personal use,Yes,Agent Referral,4.0
CL100988,Individual,Male,United Kingdom,Europe - West,1983-08-14,Investment,No,Friend/Family,3.0
CL100989,Corporate,Not Specified,India,South Asia,1971-10-07,Investment,No,Property Portal,3.0
CL100990,Corporate,Not Specified,United Arab Emirates,Middle East,1996-09-28,Investment,No,Friend/Family,4.0
CL100991,Individual,Male,India,South Asia,1985-08-30,Personal use,Yes,Agent Referral,4.0
CL100992,Corporate,Not Specified,India,South Asia,1981-10-27,Investment,No,Social Media,4.0
CL100993,Individual,Male,United States,North America - West,1995-12-24,Investment,No,Agent Referral,4.0
CL100994,Individual,Female,Australia,Oceania,1980-10-08,Personal use,Yes,Property Portal,4.0
CL100995,Corporate,Not Specified,Germany,Europe - West,1990-09-02,Investment,No,Property Portal,5.0
CL100996,Individual,Female,United Arab Emirates,Middle East,1965-10-09,Personal use,Yes,Property Portal,4.0
CL100997,Individual,Female,United States,North America - East,1977-03-01,Personal use,Yes,Agent Referral,4.0
CL100998,Individual,Male,Brazil,Latin America,1977-12-20,Personal use,Yes,Friend/Family,3.0
CL100999,Individual,Male,United Kingdom,Europe - West,2003-11-20,Personal use,Yes,Property Portal,3.0
CL101000,Corporate,Not Specified,United States,North America - East,1978-07-02,Investment,No,Website,4.0
CL101001,Individual,Female,Germany,Europe - West,1970-01-10,Personal use,Yes,Website,5.0
CL101002,Individual,Male,United States,North America - West,1951-02-18,Investment,No,Website,5.0
CL101003,Individual,Female,United States,North America - West,1972-05-09,Personal use,No,Social Media,5.0
CL101004,Individual,Male,United Arab Emirates,Middle East,1974-04-10,Personal use,No,Agent Referral,4.0
CL101005,Individual,Male,United Kingdom,Europe - West,1980-07-20,Personal use,No,Website,3.0
CL101006,Corporate,Not Specified,Australia,Oceania,1964-08-02,Investment,No,Social Media,4.0
CL101007,Individual,Male,United Kingdom,Europe - West,1974-11-04,Personal use,Yes,Property Portal,5.0
CL101008,Corporate,Not Specified,India,South Asia,1961-01-15,Investment,Yes,Property Portal,
CL101009,Individual,Male,Germany,Europe - West,1999-03-08,Investment,No,Friend/Family,2.0
CL101010,Corporate,Not Specified,United Arab Emirates,Middle East,1978-01-25,Investment,No,Property Portal,5.0
CL101011,Individual,Male,United Arab Emirates,Middle East,1975-05-12,Investment,No,Social Media,4.0
CL101012,Individual,Male,Germany,Europe - West,1986-07-04,Investment,No,Property Portal,5.0
CL101013,Individual,Female,Brazil,Latin America,1983-10-26,Personal use,Yes,Agent Referral,3.0
CL101014,Individual,Female,United Kingdom,Europe - West,1985-10-07,Investment,No,Property Portal,4.0
CL101015,Corporate,Not Specified,United States,North America - West,1966-07-22,Personal use,No,Property Portal,5.0
CL101016,Individual,Male,India,South Asia,1992-12-13,Personal use,Yes,Friend/Family,3.0
CL101017,Corporate,Not Specified,Singapore,Southeast Asia,1982-04-26,Investment,No,Agent Referral,2.0
CL101018,Individual,Male,United States,North America - East,2001-01-14,Personal use,No,Agent Referral,4.0
CL101019,Individual,Male,Germany,Europe - West,1991-08-24,Personal use,Yes,Agent Referral,4.0
CL101020,Individual,Female,Australia,Oceania,1997-04-08,Personal use,Yes,Website,5.0
CL101021,Individual,Male,India,South Asia,1979-08-21,Investment,Yes,Website,3.0
CL101022,Individual,Female,Brazil,Latin America,1977-12-12,Investment,Yes,Agent Referral,4.0
CL101023,Individual,Female,France,Europe - West,2000-05-07,Investment,Yes,Website,4.0
CL101024,Corporate,Not Specified,United Arab Emirates,Middle East,1982-06-30,Investment,No,Property Portal,5.0
CL101025,Individual,Male,United Kingdom,Europe - West,1965-01-26,Investment,Yes,Friend/Family,3.0
CL101026,Individual,Male,Australia,Oceania,1995-10-18,Personal use,Yes,Property Portal,4.0
CL101027,Individual,Male,United Kingdom,Europe - West,1981-06-03,Investment,Yes,Agent Referral,3.0
CL101028,Individual,Female,India,South Asia,1984-01-16,Personal use,Yes,Agent Referral,4.0
CL101029,Individual,Female,Germany,Europe - West,1973-01-28,Personal use,Yes,Agent Referral,4.0
CL101030,Individual,Female,United Arab Emirates,Middle East,1982-04-09,Investment,Yes,Property Portal,4.0
CL101031,Individual,Male,India,South Asia,1989-12-13,Investment,No,Website,4.0
CL101032,Individual,Female,France,Europe - West,1985-08-18,Investment,No,Friend/Family,3.0
CL101033,Individual,Female,Australia,Oceania,1984-11-17,Personal use,No,Agent Referral,3.0
CL101034,Individual,Female,Germany,Europe - West,1987-05-09,Personal use,Yes,Agent Referral,4.0
CL101035,Individual,Female,United Arab Emirates,Middle East,2000-09-13,Investment,No,Website,5.0
CL101036,Individual,Male,United Kingdom,Europe - West,1971-10-11,Personal use,Yes,Social Media,4.0
CL101037,Individual,Male,Germany,Europe - West,1973-12-28,Investment,No,Website,4.0
CL101038,Individual,Female,Germany,Europe - West,1996-12-07,Personal use,No,Property Portal,4.0
CL101039,Corporate,Not Specified,United States,North America - West,1978-08-13,Investment,No,Website,4.0
CL101040,Individual,Male,United States,North America - East,1988-01-03,Personal use,No,Agent Referral,3.0
CL101041,Individual,Male,United Arab Emirates,Middle East,1998-01-19,Personal use,Yes,Website,4.0
CL101042,Individual,Male,United Arab Emirates,Middle East,2003-11-04,Investment,Yes,Event,4.0
CL101043,Individual,Female,United Arab Emirates,Middle East,1993-05-19,Investment,Yes,Friend/Family,3.0
